shortcode,is_video,taken_at_timestamp,display_url,thumbnail_src,caption,permalink
"DWhEa09jImn","False","1774891156","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/661222522_18400255441146423_1010490116130216137_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=K3RBkSyR76kQ7kNvwFeSoBJ&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0Q75sck9ul-X-m7790REVm-V6mjnQIvoJPe1E8iQh2aA&oe=69D95410&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/661222522_18400255441146423_1010490116130216137_n.jpg?stp=c0.240.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=K3RBkSyR76kQ7kNvwFeSoBJ&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af3-_Tjr6xrkwAA21UbfTCw_qhSLhqxfCttmR4psG_7O9w&oe=69D95410&_nc_sid=8b3546","🌸🌸🌸🌸🌸🌸🌸🌸  🌈 Color Tuesday Alert! 🎨✨ SENIOR STYLIST  Enjoy 50% off your most expensive color service when you book a wash, cut, and style. 💇‍♀️💖  📞 Call us at 02088402244 or DM us for more info! Don’t miss out! #ColorTuesday #HairGoals","https://www.instagram.com/p/DWhEa09jImn/"
"DWhDiM2DLZO","False","1774890688","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/658907506_18400254004146423_1092259357465230191_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=FeumQpoGpYcQ7kNvwG2fv3G&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2Ppz9bczin-w9oXQBZ2Rwd2ZCJk6tKcMR2KBeHwmhGog&oe=69D9390F&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/658907506_18400254004146423_1092259357465230191_n.jpg?stp=c0.240.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=FeumQpoGpYcQ7kNvwG2fv3G&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1KOkNpjW1h6vxKKlngaquHb5TGeOu3Qg8UhaIstotDcw&oe=69D9390F&_nc_sid=8b3546","🌸🌸🌸🌸🌸🌸🌸  ✨ Smooth Wednesdays are here! ✨ Enjoy 25% off all smoothing services every Wednesday—your hair deserves a little extra pampering! 💁‍♀️ Don’t forget, maintenance shampoo is available separately.   📞 Call us at 02088402244 or DM us to book your appointment today!   #SmoothWednesdays #HairCare #SalonSpecials #TreatYourself","https://www.instagram.com/p/DWhDiM2DLZO/"
"DWhDWkJjMmZ","False","1774890618","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/657762879_18400253584146423_4472030672198313690_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=im5JkPK9UUUQ7kNvwE0VN94&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af3bZLb76RDU2-05im4bfOuSZxvN57zbZDJJQ177QnDOnw&oe=69D93FF1&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/657762879_18400253584146423_4472030672198313690_n.jpg?stp=c0.240.1440.1440a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=im5JkPK9UUUQ7kNvwE0VN94&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2iL880MtcGca4Mal_LjKTTtzecAWZasQz1BU5lwOxwNQ&oe=69D93FF1&_nc_sid=8b3546","SPRING IS HERE!! 🌸   🌈 Color Thursday Alert! 🎨✨ STYLIST   Enjoy 50% off your most expensive color service when you book a wash, cut, and style. 💇‍♀️💖  📞 Call us at 02088402244 or DM us for more info! Don’t miss out! #ColorTuesday #HairGoals","https://www.instagram.com/p/DWhDWkJjMmZ/"
"DVn3W8pDBEM","False","1772971685","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/649167130_18396270238146423_1446886047071583637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ADfot3-xeCoQ7kNvwFp8m9v&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af3_D237X_QwxXU6Un_KL4HgJVFH3E66S-RqZ7iyI4-mNQ&oe=69D946E7&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/649167130_18396270238146423_1446886047071583637_n.jpg?stp=c0.79.480.480a_dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ADfot3-xeCoQ7kNvwFp8m9v&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0ycxTJTLZmE3QcFLl9fKtlQtFPzyahhVLGUjxKXYv0nw&oe=69D946E7&_nc_sid=8b3546","🔄 Tiktock repost: Channeling all the 90s glam with this above-the-shoulder cut and fluffy layers on a lace wig   @itsdyo","https://www.instagram.com/p/DVn3W8pDBEM/"
"DVb3HcZDELC","True","1772568963","https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/645719791_2006798886884228_3004599202569252862_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=7jjzEqj6pu0Q7kNvwFen6NG&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0V5gYDzNoqcppo2JwAbFaZfmK4acefZNiZqQSb_iIlHA&oe=69D93B1E&_nc_sid=8b3546","https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/645719791_2006798886884228_3004599202569252862_n.jpg?stp=c0.249.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=7jjzEqj6pu0Q7kNvwFen6NG&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af002I0pVQhCl4yVwUUfDKjGof-wz4csPJz7A7vMyLKj2g&oe=69D93B1E&_nc_sid=8b3546","When you finally let go of those long locks and see the glow-up for yourself! 💇‍♂️ Sometimes change is all you need to realize the power of a fresh haircut ✨  #ealing #dickensyard #dickensyard #yuzuhair #london","https://www.instagram.com/p/DVb3HcZDELC/"
"DVJmKTmgPLH","True","1771956000","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/642645620_18575728411017953_898202482927482144_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=oCjrU-g5bIMQ7kNvwFKolWu&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af3QqrBZaCD2o6g-Z6bPmlwTbz6Umd-AKa5fkPo97b1_bQ&oe=69D934EF&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/642645620_18575728411017953_898202482927482144_n.jpg?stp=c0.513.1320.1320a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=oCjrU-g5bIMQ7kNvwFKolWu&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2h0ZU-Lj7WDRaoCqZTZECsQCvYxbdkLnwZI79LVAgJpw&oe=69D934EF&_nc_sid=8b3546","I don’t think I’ll go back to a buzz cut you know  Use code ‘BENXYUZU’ for 25% off when you book with @yuzuhairandbeauty until MAY 31st  •  Starting at £150 for short hair •  Starting at £250 for hair above shoulder length •  Starting at £350 for long, extra-long, or thick hair  Please note that costs may vary based on hair length and thickness  #london #haircut #hairstyles #perm #asianhair","https://www.instagram.com/p/DVJmKTmgPLH/"
"DVHhfzMivY5","True","1771886522","https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/639753586_1601594214424300_5966534224031580075_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=yoBAgFBhA4oQ7kNvwEcB9AC&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2sYKiBC-hqVuRlN6B3DCwx2KbrRR6rIDlNvzGsA_cXZw&oe=69D9374B&_nc_sid=8b3546","https://scontent-iad3-1.cdninstagram.com/v/t51.71878-15/639753586_1601594214424300_5966534224031580075_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=yoBAgFBhA4oQ7kNvwEcB9AC&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2FgE2ySVksCL0uZ65r-Qf2KafeWx1ino3XOEkxs4Eo4A&oe=69D9374B&_nc_sid=8b3546","Getting a perm is a game changer #london #perm #asian #asianhair","https://www.instagram.com/p/DVHhfzMivY5/"
"DVGXBMpiPDE","True","1771847556","https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/640318733_1241348660770769_3964237862441274693_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ABF18hJCFk8Q7kNvwEDRj9A&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1hdNpiI1Qq-312FmLZORhM50OSNmvxbIf5kA26lzhIsg&oe=69D937E9&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.71878-15/640318733_1241348660770769_3964237862441274693_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ABF18hJCFk8Q7kNvwEDRj9A&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1lfQQa6zQBjRmadjbi80QMI5-2POT4pHynpdAlsLW4kQ&oe=69D937E9&_nc_sid=8b3546","only appropriate way to get a haircut @yuzuhairandbeauty   get a free treatment with your cut with LAMXYUZU <3   #london #haircut #hairstylist #香港人在英國 #英國移民","https://www.instagram.com/p/DVGXBMpiPDE/"
"DVENtQODLyW","False","1771775442","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/640266981_18394629460146423_2997808510779318918_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ZQh2PFqkKvsQ7kNvwHFg1wY&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af1MwwPaBuB3qvvqy9g7HNGlLxEhbO32-5mNJVF2H00aOA&oe=69D93848&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/640266981_18394629460146423_2997808510779318918_n.jpg?stp=c0.164.1314.1314a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=ZQh2PFqkKvsQ7kNvwHFg1wY&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af12_1UyqtpnieEESjuRaK7vKUn9CM4znklMUkPbR9I3Zw&oe=69D93848&_nc_sid=8b3546","From rich brown to warm blonde in just one sitting! 🌟 . . . . . #YuzuHair #Ealing #YuzuHairSalon #DickensYard #London","https://www.instagram.com/p/DVENtQODLyW/"
"DU3pkydDIvf","True","1771353912","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639481576_18394125565146423_869904093155198360_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=a3810-N9MiAQ7kNvwHcHmEB&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af2U6wt-a37SLaVLgFSb3bu0XV3mMLisOdwVDPJ18k0PMQ&oe=69D92A75&_nc_sid=8b3546","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/639481576_18394125565146423_869904093155198360_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHVJWgaBBEOdfEbVz7y4TxtAQHb9x8Hp_yaEIF-vX4pi28PYLTD4EcEIQw4LH2bnLo&_nc_ohc=a3810-N9MiAQ7kNvwHcHmEB&_nc_gid=OW5CwcaH05l5MTKM0Ez49g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Af0NMCDPX5UkYFKHHYik-aAkonY8edsh2Ywds5MOSZvUdA&oe=69D92A75&_nc_sid=8b3546","Just another day at Yuzu. Watching you leave feeling good will always be our favourite part 🤍  #YuzuHair #Ealing #YuzuHairSalon #DickensYard #London","https://www.instagram.com/p/DU3pkydDIvf/"
